site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BEND 05NOV09 2005.8563 53683 1348 3 -121.3  -1216 -0.822828   4880173  0.479752  1095  0.837697  0.0000 0.000781 0.001068 0.003238  0.012753 -0.029228 -0.093283
BEND 05NOV10 2005.8590 53684 1348 4 -121.3  -1216 -0.822612   4880173  0.476621  1095  0.841385  0.0000 0.000785 0.001063 0.003232  0.036689 -0.047114 -0.078714
BEND 05NOV11 2005.8617 53685 1348 5 -121.3  -1216 -0.822132   4880173  0.478614  1095  0.843830  0.0000 0.000786 0.001077 0.003284  0.035164 -0.031331 -0.091794
BEND 05NOV12 2005.8645 53686 1348 6 -121.3  -1216 -0.824200   4880173  0.478181  1095  0.844251  0.0000 0.000777 0.001057 0.003245  0.004987  0.017057 -0.139894
BEND 05NOV13 2005.8672 53687 1349 0 -121.3  -1216 -0.822150   4880173  0.476979  1095  0.848827  0.0000 0.000796 0.001067 0.003284  0.000611  0.023154 -0.138538
BEND 05NOV14 2005.8700 53688 1349 1 -121.3  -1216 -0.822908   4880173  0.479289  1095  0.833952  0.0000 0.000789 0.001080 0.003278  0.023785 -0.038628 -0.119564
BEND 05NOV15 2005.8727 53689 1349 2 -121.3  -1216 -0.821890   4880173  0.478624  1095  0.833526  0.0000 0.000746 0.001030 0.003116  0.041397 -0.049578 -0.098977
BEND 05NOV16 2005.8754 53690 1349 3 -121.3  -1216 -0.822018   4880173  0.477826  1095  0.830145  0.0000 0.000749 0.001041 0.003154  0.028543 -0.021318 -0.114523
BEND 05NOV17 2005.8782 53691 1349 4 -121.3  -1216 -0.824358   4880173  0.477655  1095  0.832912  0.0000 0.000757 0.001054 0.003223  0.029392  0.001066 -0.110184
BEND 05NOV18 2005.8809 53692 1349 5 -121.3  -1216 -0.822664   4880173  0.477435  1095  0.835092  0.0000 0.000751 0.001053 0.003195  0.027795 -0.005613 -0.107430
