site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GGPA 10MAY12 2010.3600 55328 1583 3  -78.6    705  0.204839    -19951 -0.437669  4483  0.719111  0.2620 0.001626 0.001332 0.005436 -0.200516  0.000863 -0.197848
GGPA 10MAY13 2010.3628 55329 1583 4  -78.6    705  0.200958    -19951 -0.434892  4483  0.716453  0.2620 0.000984 0.000787 0.003261 -0.094649  0.131043 -0.102342
GGPA 10MAY14 2010.3655 55330 1583 5  -78.6    705  0.202933    -19951 -0.435437  4483  0.714270  0.2620 0.001003 0.000817 0.003337 -0.127702  0.123314 -0.069966
GGPA 10MAY15 2010.3682 55331 1583 6  -78.6    705  0.203077    -19951 -0.435877  4483  0.717943  0.2620 0.001005 0.000823 0.003370 -0.116350  0.132400 -0.082882
GGPA 10MAY16 2010.3710 55332 1584 0  -78.6    705  0.203924    -19951 -0.435549  4483  0.716301  0.2620 0.000992 0.000794 0.003325 -0.092589  0.148963 -0.098874
GGPA 10MAY17 2010.3737 55333 1584 1  -78.6    705  0.201338    -19951 -0.436319  4483  0.715786  0.2620 0.000991 0.000791 0.003288 -0.091826  0.122200 -0.086693
GGPA 10MAY19 2010.3792 55335 1584 3  -78.6    705  0.201802    -19951 -0.435847  4483  0.710109  0.2620 0.001009 0.000831 0.003482 -0.068159  0.137189 -0.155477
GGPA 10MAY20 2010.3819 55336 1584 4  -78.6    705  0.201163    -19951 -0.435148  4483  0.716982  0.2620 0.001003 0.000826 0.003428 -0.070065  0.119755 -0.148721
GGPA 10MAY22 2010.3874 55338 1584 6  -78.6    705  0.201944    -19951 -0.434121  4483  0.710960  0.2620 0.001038 0.000825 0.003388 -0.104474  0.125451 -0.128857
GGPA 10MAY23 2010.3901 55339 1585 0  -78.6    705  0.202054    -19951 -0.435198  4483  0.710627  0.2620 0.001039 0.000812 0.003312 -0.103498  0.135960 -0.101182
GGPA 10MAY24 2010.3929 55340 1585 1  -78.6    705  0.201614    -19951 -0.435811  4483  0.716280  0.2620 0.001036 0.000814 0.003347 -0.090831  0.120291 -0.108838
GGPA 10MAY26 2010.3984 55342 1585 3  -78.6    705  0.203369    -19951 -0.437340  4483  0.721331  0.2620 0.000992 0.000793 0.003283 -0.081477  0.121254 -0.102371
GGPA 10MAY27 2010.4011 55343 1585 4  -78.6    705  0.202791    -19951 -0.435578  4483  0.717229  0.2620 0.000979 0.000776 0.003219 -0.100398  0.118607 -0.103483
GGPA 10MAY29 2010.4066 55345 1585 6  -78.6    705  0.203746    -19951 -0.435765  4483  0.720102  0.2620 0.001655 0.001294 0.005361 -0.077267  0.008182 -0.144831
GGPA 10MAY30 2010.4093 55346 1586 0  -78.6    705  0.204075    -19951 -0.436513  4483  0.716723  0.2620 0.000991 0.000782 0.003268 -0.073961  0.117587 -0.086725
GGPA 10JUN03 2010.4203 55350 1586 4  -78.6    705  0.204339    -19951 -0.435721  4483  0.708979  0.2620 0.001426 0.001151 0.005072 -0.118713  0.096354 -0.120963
GGPA 10JUN04 2010.4230 55351 1586 5  -78.6    705  0.205777    -19951 -0.437783  4483  0.710840  0.2620 0.001015 0.000808 0.003400 -0.056981  0.151028 -0.073001
GGPA 10JUN05 2010.4257 55352 1586 6  -78.6    705  0.206842    -19951 -0.435007  4483  0.717732  0.2620 0.000980 0.000770 0.003203 -0.086983  0.109720 -0.094127
GGPA 10JUN06 2010.4285 55353 1587 0  -78.6    705  0.206231    -19951 -0.435404  4483  0.717760  0.2620 0.000981 0.000780 0.003246 -0.106564  0.125490 -0.114544
GGPA 10JUN07 2010.4312 55354 1587 1  -78.6    705  0.202845    -19951 -0.434270  4483  0.710888  0.2620 0.000991 0.000787 0.003332 -0.078450  0.141859 -0.107667
