site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HUSB 01JUN16 2001.4565 52076 1118 6 -121.8  -3951 -0.085516   4887103  0.346091  2038  0.327466  0.0795 0.000791 0.001076 0.003388 -0.018408  0.016346 -0.161843
HUSB 01JUN17 2001.4593 52077 1119 0 -121.8  -3951 -0.083127   4887103  0.347531  2038  0.329404  0.0795 0.000806 0.001119 0.003452  0.000539 -0.002427 -0.195728
HUSB 01JUN18 2001.4620 52078 1119 1 -121.8  -3951 -0.083795   4887103  0.346146  2038  0.332811  0.0795 0.000790 0.001069 0.003350 -0.005049 -0.000264 -0.156315
HUSB 01JUN19 2001.4648 52079 1119 2 -121.8  -3951 -0.084696   4887103  0.347278  2038  0.334318  0.0795 0.000815 0.001092 0.003435  0.006831 -0.015105 -0.141867
HUSB 01JUN20 2001.4675 52080 1119 3 -121.8  -3951 -0.083311   4887103  0.344110  2038  0.332598  0.0795 0.000819 0.001089 0.003459 -0.014483 -0.010041 -0.136905
HUSB 01JUN21 2001.4702 52081 1119 4 -121.8  -3951 -0.084761   4887103  0.342328  2038  0.330776  0.0795 0.000828 0.001089 0.003479 -0.026296 -0.029768 -0.141748
HUSB 01JUN22 2001.4730 52082 1119 5 -121.8  -3951 -0.084987   4887103  0.345768  2038  0.328264  0.0795 0.000799 0.001082 0.003374 -0.009601 -0.018074 -0.169464
HUSB 01JUN23 2001.4757 52083 1119 6 -121.8  -3951 -0.083851   4887103  0.345081  2038  0.337544  0.0795 0.000816 0.001083 0.003373 -0.003195 -0.022683 -0.138184
HUSB 01JUN24 2001.4784 52084 1120 0 -121.8  -3951 -0.082852   4887103  0.341408  2038  0.336971  0.0795 0.000821 0.001090 0.003437 -0.001850  0.008254 -0.145400
HUSB 01JUN25 2001.4812 52085 1120 1 -121.8  -3951 -0.084113   4887103  0.344911  2038  0.332513  0.0795 0.000790 0.001066 0.003307  0.006157 -0.015504 -0.189845
HUSB 01JUN26 2001.4839 52086 1120 2 -121.8  -3951 -0.084398   4887103  0.346227  2038  0.328473  0.0795 0.000801 0.001080 0.003382 -0.015075  0.032373 -0.185038
HUSB 01JUN28 2001.4894 52088 1120 4 -121.8  -3951 -0.084194   4887103  0.345852  2038  0.330368  0.0795 0.000807 0.001081 0.003416  0.002475 -0.023724 -0.192791
HUSB 01JUN30 2001.4949 52090 1120 6 -121.8  -3951 -0.084467   4887103  0.346716  2038  0.332238  0.0795 0.000794 0.001065 0.003304  0.016369 -0.012021 -0.190326
HUSB 01JUL01 2001.4976 52091 1121 0 -121.8  -3951 -0.084462   4887103  0.344106  2038  0.332445  0.0795 0.000798 0.001073 0.003324  0.001791 -0.010866 -0.185103
HUSB 01JUL02 2001.5003 52092 1121 1 -121.8  -3951 -0.082992   4887103  0.347598  2038  0.331100  0.0795 0.000803 0.001075 0.003355  0.006463 -0.011577 -0.193401
HUSB 01JUL03 2001.5031 52093 1121 2 -121.8  -3951 -0.083065   4887103  0.348955  2038  0.332150  0.0795 0.000829 0.001086 0.003413 -0.008198 -0.009774 -0.180374
HUSB 01JUL04 2001.5058 52094 1121 3 -121.8  -3951 -0.084042   4887103  0.344800  2038  0.333530  0.0795 0.000796 0.001063 0.003308  0.010758 -0.012712 -0.195516
HUSB 01JUL05 2001.5086 52095 1121 4 -121.8  -3951 -0.085947   4887103  0.346545  2038  0.332097  0.0795 0.000802 0.001064 0.003317  0.019332 -0.050714 -0.168079
HUSB 01JUL06 2001.5113 52096 1121 5 -121.8  -3951 -0.085381   4887103  0.344585  2038  0.330632  0.0795 0.000804 0.001070 0.003346  0.017578 -0.033318 -0.189903
HUSB 01JUL07 2001.5140 52097 1121 6 -121.8  -3951 -0.084895   4887103  0.345325  2038  0.329500  0.0795 0.000820 0.001081 0.003384 -0.016002 -0.003489 -0.189170
HUSB 01JUL08 2001.5168 52098 1122 0 -121.8  -3951 -0.084447   4887103  0.344292  2038  0.333841  0.0795 0.000799 0.001067 0.003347  0.015538 -0.004615 -0.172981
HUSB 01JUL09 2001.5195 52099 1122 1 -121.8  -3951 -0.083707   4887103  0.344923  2038  0.329129  0.0795 0.000808 0.001063 0.003357  0.021420 -0.003950 -0.177214
HUSB 01JUL10 2001.5222 52100 1122 2 -121.8  -3951 -0.085543   4887103  0.344726  2038  0.329250  0.0795 0.000834 0.001121 0.003448  0.040159 -0.029734 -0.162760
HUSB 01JUL11 2001.5250 52101 1122 3 -121.8  -3951 -0.084722   4887103  0.346912  2038  0.336896  0.0795 0.000807 0.001084 0.003418  0.013453 -0.014203 -0.177094
HUSB 01JUL12 2001.5277 52102 1122 4 -121.8  -3951 -0.084234   4887103  0.346259  2038  0.330324  0.0795 0.000815 0.001116 0.003506 -0.005352 -0.012252 -0.203116
HUSB 01JUL13 2001.5305 52103 1122 5 -121.8  -3951 -0.086468   4887103  0.346067  2038  0.330929  0.0795 0.000825 0.001121 0.003492 -0.021551  0.005780 -0.195298
HUSB 01JUL14 2001.5332 52104 1122 6 -121.8  -3951 -0.085634   4887103  0.348258  2038  0.332046  0.0795 0.000822 0.001082 0.003423 -0.009356 -0.022537 -0.170653
HUSB 01JUL15 2001.5359 52105 1123 0 -121.8  -3951 -0.086022   4887103  0.345541  2038  0.334210  0.0795 0.000791 0.001059 0.003317  0.015047 -0.033089 -0.170412
HUSB 01JUL16 2001.5387 52106 1123 1 -121.8  -3951 -0.085760   4887103  0.345188  2038  0.329953  0.0795 0.000800 0.001079 0.003401  0.017145 -0.021525 -0.176328
HUSB 01JUL17 2001.5414 52107 1123 2 -121.8  -3951 -0.085238   4887103  0.346476  2038  0.331085  0.0795 0.000799 0.001072 0.003393 -0.001188 -0.009797 -0.184221
HUSB 01JUL18 2001.5441 52108 1123 3 -121.8  -3951 -0.082669   4887103  0.343284  2038  0.326822  0.0795 0.000889 0.001176 0.003748  0.008914 -0.013713 -0.183874
HUSB 01JUL20 2001.5496 52110 1123 5 -121.8  -3951 -0.083356   4887103  0.344284  2038  0.333199  0.0795 0.000819 0.001120 0.003450  0.006913 -0.021171 -0.188471
HUSB 01JUL21 2001.5524 52111 1123 6 -121.8  -3951 -0.084025   4887103  0.344371  2038  0.323828  0.0795 0.000794 0.001063 0.003359  0.020655 -0.048038 -0.179869
HUSB 01JUL22 2001.5551 52112 1124 0 -121.8  -3951 -0.083504   4887103  0.345411  2038  0.324784  0.0795 0.000790 0.001075 0.003370  0.015927 -0.041607 -0.173628
HUSB 01JUL23 2001.5578 52113 1124 1 -121.8  -3951 -0.084029   4887103  0.344730  2038  0.325647  0.0795 0.000814 0.001081 0.003436 -0.024704 -0.014194 -0.185752
HUSB 01JUL24 2001.5606 52114 1124 2 -121.8  -3951 -0.084715   4887103  0.346432  2038  0.323918  0.0795 0.000791 0.001069 0.003378  0.001495 -0.022197 -0.164625
HUSB 01JUL25 2001.5633 52115 1124 3 -121.8  -3951 -0.087144   4887103  0.346253  2038  0.335736  0.0795 0.000785 0.001070 0.003361  0.014995 -0.045245 -0.182251
HUSB 01JUL26 2001.5661 52116 1124 4 -121.8  -3951 -0.084162   4887103  0.345352  2038  0.329909  0.0795 0.000811 0.001118 0.003425 -0.012804 -0.017325 -0.178750
