site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P664 07OCT05 2007.7591 54378 1447 5 -121.5    347  0.279992   4482072  0.321579  2569  0.138537  0.0083 0.000714 0.000971 0.003606  0.025496 -0.000320 -0.418708
P664 07OCT06 2007.7618 54379 1447 6 -121.5    347  0.281298   4482072  0.317483  2569  0.151623  0.0083 0.000712 0.000968 0.003661  0.023144  0.001372 -0.439657
P664 07OCT07 2007.7645 54380 1448 0 -121.5    347  0.280240   4482072  0.320878  2569  0.147488  0.0083 0.000713 0.000970 0.003672  0.024679 -0.006186 -0.432380
P664 07OCT08 2007.7673 54381 1448 1 -121.5    347  0.281189   4482072  0.320207  2569  0.149571  0.0083 0.000739 0.001029 0.003887  0.006442 -0.003790 -0.452372
P664 07OCT09 2007.7700 54382 1448 2 -121.5    347  0.283435   4482072  0.321954  2569  0.153826  0.0083 0.000761 0.001031 0.003916  0.025509  0.001536 -0.436425
P664 07OCT10 2007.7728 54383 1448 3 -121.5    347  0.283132   4482072  0.324552  2569  0.145012  0.0083 0.000721 0.001019 0.003940  0.000992  0.014035 -0.458667
P664 07OCT11 2007.7755 54384 1448 4 -121.5    347  0.279452   4482072  0.321537  2569  0.147466  0.0083 0.000707 0.000973 0.003646  0.030908 -0.002697 -0.438090
P664 07OCT12 2007.7782 54385 1448 5 -121.5    347  0.281895   4482072  0.320348  2569  0.150256  0.0083 0.000725 0.000969 0.003683  0.039002 -0.040058 -0.430991
P664 07OCT13 2007.7810 54386 1448 6 -121.5    347  0.279737   4482072  0.319116  2569  0.148559  0.0083 0.000713 0.000961 0.003612  0.062327 -0.026123 -0.427114
P664 07OCT14 2007.7837 54387 1449 0 -121.5    347  0.279680   4482072  0.320460  2569  0.146728  0.0083 0.000716 0.000959 0.003594  0.046724 -0.036600 -0.423556
P664 07OCT15 2007.7864 54388 1449 1 -121.5    347  0.280331   4482072  0.320261  2569  0.147308  0.0083 0.000711 0.000957 0.003588  0.036660 -0.028294 -0.421644
P664 07OCT16 2007.7892 54389 1449 2 -121.5    347  0.281047   4482072  0.319715  2569  0.152562  0.0083 0.000711 0.000979 0.003635  0.040193 -0.017089 -0.437870
P664 07OCT17 2007.7919 54390 1449 3 -121.5    347  0.281665   4482072  0.319815  2569  0.150077  0.0083 0.000745 0.001007 0.003815  0.033200 -0.011430 -0.449602
P664 07OCT18 2007.7947 54391 1449 4 -121.5    347  0.284306   4482072  0.320118  2569  0.147207  0.0083 0.000736 0.000994 0.003736  0.038495 -0.001728 -0.438167
P664 07OCT19 2007.7974 54392 1449 5 -121.5    347  0.283727   4482072  0.321920  2569  0.144902  0.0083 0.000733 0.001000 0.003762  0.043309 -0.012699 -0.435391
P664 07OCT20 2007.8001 54393 1449 6 -121.5    347  0.277760   4482072  0.319870  2569  0.150298  0.0083 0.000722 0.000960 0.003652  0.028107 -0.037414 -0.416770
P664 07OCT21 2007.8029 54394 1450 0 -121.5    347  0.279021   4482072  0.318336  2569  0.145901  0.0083 0.000711 0.000966 0.003673  0.018431 -0.022302 -0.444426
P664 07OCT22 2007.8056 54395 1450 1 -121.5    347  0.280500   4482072  0.318662  2569  0.140932  0.0083 0.000708 0.000976 0.003603  0.040744 -0.025297 -0.426552
P664 07OCT23 2007.8084 54396 1450 2 -121.5    347  0.281240   4482072  0.321651  2569  0.141962  0.0083 0.000733 0.000975 0.003699  0.023527 -0.019763 -0.441950
P664 07OCT24 2007.8111 54397 1450 3 -121.5    347  0.283546   4482072  0.323122  2569  0.142235  0.0083 0.000726 0.000969 0.003703  0.020413  0.000798 -0.444727
P664 07OCT25 2007.8138 54398 1450 4 -121.5    347  0.280110   4482072  0.321562  2569  0.139777  0.0083 0.000724 0.000958 0.003650  0.013816 -0.006788 -0.435747
P664 07OCT26 2007.8166 54399 1450 5 -121.5    347  0.280244   4482072  0.320305  2569  0.146478  0.0083 0.000738 0.000964 0.003682 -0.003771  0.017180 -0.423171
P664 07OCT27 2007.8193 54400 1450 6 -121.5    347  0.280995   4482072  0.321130  2569  0.143880  0.0083 0.000719 0.000968 0.003670  0.010615  0.014964 -0.437438
P664 07OCT28 2007.8220 54401 1451 0 -121.5    347  0.279936   4482072  0.320781  2569  0.141836  0.0083 0.000718 0.000971 0.003680  0.006243  0.020291 -0.442062
P664 07OCT29 2007.8248 54402 1451 1 -121.5    347  0.280277   4482072  0.321616  2569  0.134227  0.0083 0.000740 0.000985 0.003749  0.034410 -0.004163 -0.439590
P664 07OCT30 2007.8275 54403 1451 2 -121.5    347  0.278958   4482072  0.319122  2569  0.131129  0.0083 0.000729 0.000974 0.003714  0.009336  0.014190 -0.441277
P664 07OCT31 2007.8303 54404 1451 3 -121.5    347  0.280410   4482072  0.320181  2569  0.145148  0.0083 0.000718 0.000962 0.003670  0.001512  0.012895 -0.446494
P664 07NOV01 2007.8330 54405 1451 4 -121.5    347  0.279762   4482072  0.320146  2569  0.145165  0.0083 0.000701 0.000952 0.003613  0.010975  0.003024 -0.438478
