site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
QUI4 15NOV11 2015.8604 57337 1870 3  -78.5   3642  0.470477    -15433 -0.893869  2927  0.480549  0.0000 0.000827 0.000701 0.002827 -0.034055  0.027555  0.009126
QUI4 15NOV12 2015.8631 57338 1870 4  -78.5   3642  0.470832    -15433 -0.891718  2927  0.476531  0.0000 0.000807 0.000686 0.002750 -0.022701 -0.012060  0.007837
QUI4 15NOV13 2015.8658 57339 1870 5  -78.5   3642  0.472782    -15433 -0.891941  2927  0.482050  0.0000 0.000811 0.000669 0.002716 -0.033674 -0.013510  0.030624
QUI4 15NOV14 2015.8686 57340 1870 6  -78.5   3642  0.473112    -15433 -0.890683  2927  0.483261  0.0000 0.000797 0.000651 0.002666 -0.025326  0.008198  0.006677
QUI4 15NOV15 2015.8713 57341 1871 0  -78.5   3642  0.471615    -15433 -0.890533  2927  0.476901  0.0000 0.000817 0.000679 0.002740 -0.051660 -0.008907  0.016936
QUI4 15NOV16 2015.8741 57342 1871 1  -78.5   3642  0.471718    -15433 -0.888821  2927  0.479281  0.0000 0.000806 0.000660 0.002734 -0.021150  0.029910  0.042662
QUI4 15NOV17 2015.8768 57343 1871 2  -78.5   3642  0.472135    -15433 -0.891647  2927  0.478015  0.0000 0.000801 0.000662 0.002638 -0.002643  0.021618  0.006482
QUI4 15NOV18 2015.8795 57344 1871 3  -78.5   3642  0.472686    -15433 -0.889771  2927  0.480335  0.0000 0.000787 0.000655 0.002599  0.005430  0.017335  0.003380
QUI4 15NOV19 2015.8823 57345 1871 4  -78.5   3642  0.474259    -15433 -0.890947  2927  0.488097  0.0000 0.000774 0.000637 0.002546 -0.019899  0.023667  0.003320
QUI4 15NOV20 2015.8850 57346 1871 5  -78.5   3642  0.471008    -15433 -0.891480  2927  0.476148  0.0000 0.000826 0.000688 0.002814 -0.019435 -0.002880  0.025976
QUI4 15NOV21 2015.8877 57347 1871 6  -78.5   3642  0.471068    -15433 -0.892433  2927  0.485138  0.0000 0.000809 0.000678 0.002772 -0.011133 -0.002672  0.013784
QUI4 15NOV22 2015.8905 57348 1872 0  -78.5   3642  0.471763    -15433 -0.890207  2927  0.482850  0.0000 0.000806 0.000660 0.002759  0.014504  0.034773  0.012074
QUI4 15NOV23 2015.8932 57349 1872 1  -78.5   3642  0.473381    -15433 -0.890227  2927  0.482572  0.0000 0.000769 0.000637 0.002547 -0.004144 -0.000499 -0.007416
QUI4 15NOV24 2015.8960 57350 1872 2  -78.5   3642  0.473098    -15433 -0.889940  2927  0.483504  0.0000 0.000765 0.000630 0.002540 -0.016045  0.008812  0.009802
QUI4 15NOV25 2015.8987 57351 1872 3  -78.5   3642  0.473498    -15433 -0.889167  2927  0.483278  0.0000 0.000793 0.000664 0.002739  0.008334 -0.003111  0.018853
QUI4 15NOV26 2015.9014 57352 1872 4  -78.5   3642  0.472983    -15433 -0.889521  2927  0.480774  0.0000 0.000823 0.000688 0.002808 -0.025799 -0.014040  0.016265
QUI4 15NOV27 2015.9042 57353 1872 5  -78.5   3642  0.472054    -15433 -0.891168  2927  0.481190  0.0000 0.000781 0.000658 0.002635 -0.020257 -0.000885  0.020406
QUI4 15NOV28 2015.9069 57354 1872 6  -78.5   3642  0.473323    -15433 -0.890667  2927  0.481891  0.0000 0.000779 0.000640 0.002603 -0.007139  0.002976  0.001213
QUI4 15NOV29 2015.9097 57355 1873 0  -78.5   3642  0.473539    -15433 -0.891860  2927  0.483327  0.0000 0.000766 0.000634 0.002551 -0.013551 -0.000691 -0.000765
QUI4 15NOV30 2015.9124 57356 1873 1  -78.5   3642  0.474996    -15433 -0.891554  2927  0.484441  0.0000 0.000787 0.000639 0.002613 -0.019175 -0.030103  0.008203
QUI4 15DEC01 2015.9151 57357 1873 2  -78.5   3642  0.473565    -15433 -0.889465  2927  0.485447  0.0000 0.000825 0.000695 0.002889 -0.021249  0.030238 -0.003780
QUI4 15DEC02 2015.9179 57358 1873 3  -78.5   3642  0.473091    -15433 -0.890825  2927  0.484294  0.0000 0.000779 0.000642 0.002626  0.008298  0.006425  0.014086
QUI4 15DEC03 2015.9206 57359 1873 4  -78.5   3642  0.473547    -15433 -0.890717  2927  0.480560  0.0000 0.000782 0.000656 0.002647 -0.006285 -0.009512  0.007874
QUI4 15DEC04 2015.9233 57360 1873 5  -78.5   3642  0.473551    -15433 -0.890896  2927  0.480167  0.0000 0.000764 0.000641 0.002573 -0.002387 -0.008956 -0.008861
QUI4 15DEC05 2015.9261 57361 1873 6  -78.5   3642  0.472754    -15433 -0.890715  2927  0.486945  0.0000 0.000757 0.000625 0.002527  0.005008 -0.004890  0.008307
QUI4 15DEC08 2015.9343 57364 1874 2  -78.5   3642  0.473813    -15433 -0.890907  2927  0.472531  0.0000 0.000805 0.000667 0.002751  0.031801 -0.000400  0.011938
QUI4 15DEC09 2015.9370 57365 1874 3  -78.5   3642  0.473783    -15433 -0.890386  2927  0.474664  0.0000 0.000779 0.000661 0.002648  0.027180  0.017378 -0.012932
QUI4 15DEC10 2015.9398 57366 1874 4  -78.5   3642  0.474310    -15433 -0.890928  2927  0.473680  0.0000 0.000789 0.000658 0.002728 -0.007831  0.007707 -0.005843
QUI4 15DEC11 2015.9425 57367 1874 5  -78.5   3642  0.475629    -15433 -0.890552  2927  0.476212  0.0000 0.000762 0.000647 0.002622  0.001212 -0.005919  0.029598
QUI4 15DEC12 2015.9452 57368 1874 6  -78.5   3642  0.473851    -15433 -0.890900  2927  0.479539  0.0000 0.000776 0.000645 0.002653  0.003338  0.022416  0.012034
QUI4 15DEC13 2015.9480 57369 1875 0  -78.5   3642  0.472482    -15433 -0.888708  2927  0.476019  0.0000 0.000817 0.000695 0.002789  0.017169  0.016247  0.061186
QUI4 15DEC14 2015.9507 57370 1875 1  -78.5   3642  0.473215    -15433 -0.890229  2927  0.473175  0.0000 0.000863 0.000720 0.003000  0.045369  0.000770 -0.017808
QUI4 15DEC15 2015.9535 57371 1875 2  -78.5   3642  0.475189    -15433 -0.889277  2927  0.484875  0.0000 0.000802 0.000670 0.002703  0.019686 -0.025276 -0.032878
QUI4 15DEC16 2015.9562 57372 1875 3  -78.5   3642  0.476366    -15433 -0.890328  2927  0.487773  0.0000 0.001006 0.000839 0.003394  0.005566  0.100367  0.048458
QUI4 15DEC17 2015.9589 57373 1875 4  -78.5   3642  0.471663    -15433 -0.888641  2927  0.478096  0.0000 0.000788 0.000633 0.002567 -0.000323 -0.005609  0.020063
QUI4 15DEC18 2015.9617 57374 1875 5  -78.5   3642  0.475096    -15433 -0.891128  2927  0.475503  0.0000 0.000791 0.000635 0.002593  0.004294  0.014537  0.050442
QUI4 15DEC19 2015.9644 57375 1875 6  -78.5   3642  0.476742    -15433 -0.889141  2927  0.481862  0.0000 0.000757 0.000627 0.002521  0.002169  0.011752  0.028422
QUI4 15DEC20 2015.9671 57376 1876 0  -78.5   3642  0.475016    -15433 -0.889079  2927  0.477904  0.0000 0.000753 0.000628 0.002519 -0.001343  0.008496 -0.002485
QUI4 15DEC21 2015.9699 57377 1876 1  -78.5   3642  0.474591    -15433 -0.888659  2927  0.480130  0.0000 0.000772 0.000641 0.002540 -0.000912  0.010971 -0.040165
QUI4 15DEC22 2015.9726 57378 1876 2  -78.5   3642  0.475908    -15433 -0.889985  2927  0.483658  0.0000 0.000876 0.000752 0.002903  0.002735  0.020276  0.040637
QUI4 15DEC23 2015.9754 57379 1876 3  -78.5   3642  0.475496    -15433 -0.888934  2927  0.476877  0.0000 0.000811 0.000700 0.002715  0.003789  0.009838  0.023821
